,pitcher,season,Age,Throws,Surgery,BB_release_speed_weighted_avg,FB_release_speed_weighted_avg,OS_release_speed_weighted_avg,OT_release_speed_weighted_avg,SB_release_speed_weighted_avg,BB_release_pos_x_weighted_avg,FB_release_pos_x_weighted_avg,OS_release_pos_x_weighted_avg,OT_release_pos_x_weighted_avg,SB_release_pos_x_weighted_avg,BB_release_pos_y_weighted_avg,FB_release_pos_y_weighted_avg,OS_release_pos_y_weighted_avg,OT_release_pos_y_weighted_avg,SB_release_pos_y_weighted_avg,BB_release_pos_z_weighted_avg,FB_release_pos_z_weighted_avg,OS_release_pos_z_weighted_avg,OT_release_pos_z_weighted_avg,SB_release_pos_z_weighted_avg,BB_vx0_weighted_avg,FB_vx0_weighted_avg,OS_vx0_weighted_avg,OT_vx0_weighted_avg,SB_vx0_weighted_avg,BB_vy0_weighted_avg,FB_vy0_weighted_avg,OS_vy0_weighted_avg,OT_vy0_weighted_avg,SB_vy0_weighted_avg,BB_vz0_weighted_avg,FB_vz0_weighted_avg,OS_vz0_weighted_avg,OT_vz0_weighted_avg,SB_vz0_weighted_avg
25,113296,2009,38.0,1,0.0,75.95714285714286,89.6358428030303,83.63000000000001,54.2,85.122,-1.7085714285714286,-1.6762468434343434,-1.6776666666666666,-2.936666666666667,-1.7914666666666668,54.5,54.5,54.5,54.5,54.5,6.398571428571429,6.272793560606061,6.399,6.803333333333334,6.2504,1.2221141861341065,5.197381690090749,4.285131178885073,-4.837037249628265,3.563718234264316,-111.4493608976363,-131.29088742574066,-122.4623106696422,-79.18715455878232,-124.66370469459058,0.2227109159163599,-5.114933592446224,-4.208904223561514,8.466377042027062,-3.2774145671009496
26,113296,2010,39.0,1,0.0,76.47666666666667,88.8035811982277,80.68372093023255,56.16,83.01111111111112,-1.7726666666666666,-1.7025668464650359,-1.7492635658914728,-2.298,-1.7470138888888889,54.5,54.5,54.5,54.5,54.5,6.200666666666667,6.187448757464843,6.14093023255814,6.697333333333334,6.174930555555556,3.720013143471829,5.618092054460868,6.391115090702949,4.211218355806101,4.287333553300688,-112.16771982064806,-130.0913353640538,-118.04804143485356,-81.78854122733061,-121.56472597334128,0.2092448256146869,-4.4008413929504275,-1.833178636668221,7.283926363245915,-2.049168602513621
27,113898,2009,33.0,1,0.0,0.0,94.50836236933799,84.66071428571429,0.0,79.54444444444444,0.0,-0.8451219512195123,-0.72,0.0,-1.0222222222222224,0.0,54.5,54.5,0.0,54.5,0.0,6.800365853658537,6.850357142857143,0.0,6.733333333333333,0.0,4.317880095425166,4.068029475238308,0.0,3.718969065750259,0.0,-138.26442486453413,-123.93139288535318,0.0,-116.49213190245035,0.0,-7.166427943757554,-6.098132999972457,0.0,-1.3122159523417625
28,113915,2008,35.0,0,1.0,73.07764705882353,89.48318242790074,82.91999999999999,0.0,0.0,2.124235294117647,2.1755545592394947,2.3098260869565217,0.0,0.0,54.5,54.5,54.5,0.0,0.0,6.832470588235294,6.679748053538623,6.628521739130434,0.0,0.0,-3.6136892333644175,-7.466880140698619,-6.451826030902723,0.0,0.0,-107.22972919960634,-131.0124700121672,-121.36830861334388,0.0,0.0,1.163231497683873,-6.324412525395951,-5.294967612750646,0.0,0.0
29,113961,2008,36.0,0,1.0,0.0,91.88053435114504,81.49600000000001,70.65,81.47278481012658,0.0,2.123053435114504,2.2936,2.6637500000000003,2.4536708860759493,0.0,54.5,54.5,54.5,54.5,0.0,6.529503816793893,6.4112,6.9475,6.410506329113924,0.0,-7.65654510343738,-6.537909959520999,1.7884796861047991,-5.850159889456072,0.0,-134.47956236152453,-119.27222967798448,-103.68359608609416,-119.26132901426428,0.0,-7.222417507568053,-3.966771235961165,1.9431374046773209,-2.6754838246372183
30,113961,2009,37.0,0,1.0,0.0,90.52413793103447,80.18095238095238,0.0,80.9337837837838,0.0,2.41698275862069,2.593809523809524,0.0,2.7195945945945947,0.0,54.5,54.5,0.0,54.5,0.0,6.557040229885057,6.47404761904762,0.0,6.429391891891893,0.0,-8.313802087061818,-7.29083141426385,0.0,-6.886477350121103,0.0,-132.40777886085272,-117.2824874596664,0.0,-118.35880554667582,0.0,-7.028936683941862,-3.3780989851169188,0.0,-3.082472520004506
31,114849,2008,42.0,0,0.0,66.38,81.45889277208242,76.52760869565216,64.55999999999999,74.0,1.024,1.0617942684063373,1.1520434782608695,1.324,1.2933333333333332,54.5,54.5,54.5,54.5,54.5,6.845000000000001,6.664571476649063,6.587673913043478,7.503,6.645,0.1155815233172191,-4.606519339323307,-4.910417895476465,5.455235322765626,-2.098329156449161,-97.32703871978528,-119.15785330749821,-112.05628983065512,-94.52336769898344,-108.4857954211844,2.0330482670829646,-5.069163852852407,-4.490374906658291,1.2854439790419565,-0.9551947264171744
32,114971,2008,40.0,1,1.0,80.18888888888888,92.01788461538462,0.0,75.57499999999999,85.33787234042553,-1.3133333333333337,-1.4927884615384615,0.0,-1.2625,-1.378340425531915,54.5,54.5,0.0,54.5,54.5,6.500740740740741,6.386346153846153,0.0,6.7225,6.44136170212766,0.3501312234888196,2.953929013838522,0.0,-5.941690918745561,3.135701330421677,-117.54608561719408,-134.8930237487604,0.0,-110.556448512717,-124.93707042320572,0.1893172269331267,-5.0550045676861,0.0,4.766319355283397,-3.930438294694996
33,114971,2009,41.0,1,1.0,81.2625,90.99666666666667,0.0,0.0,87.54166666666667,-1.09,-1.312,0.0,0.0,-1.2408333333333337,54.5,54.5,0.0,0.0,54.5,6.25625,6.017,0.0,0.0,6.058333333333334,1.271363962096203,2.420775819856409,0.0,0.0,4.160650486983252,-119.05155612256516,-133.3818911996877,0.0,0.0,-128.19578957655233,-2.901143340791326,-4.024559792913105,0.0,0.0,-2.7783592805597164
34,115399,2008,35.0,0,1.0,75.74418604651163,86.3969021164021,79.34054054054054,68.75,0.0,1.9293023255813952,1.8576695620223396,2.060405405405405,1.842222222222222,0.0,54.5,54.5,54.5,54.5,0.0,6.539186046511628,6.34221569664903,6.272297297297297,6.7333333333333325,0.0,-2.339560150404984,-6.236698648166466,-6.541461819952727,1.4788446145171592,0.0,-111.10277588681998,-126.45968127419901,-116.12729284729812,-100.43415637786056,0.0,1.3454573796619471,-4.094070826070795,-2.765919224128976,3.292922622986897,0.0
